date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:59	41467/41467	--FM--	200	added ('OK')	text/html		file:///C:/Users/USER/Desktop/20200203%20-STC%20-%20WORDPRESS%20WORKSHOP%20-%201/simply-static-1-1580897306/index.html	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/file/C_/Users/USER/Desktop/20200203%20-STC%20-%20WORDPRESS%20WORKSHOP%20-%201/simply-static-1-1580897306/index.html	(from )
18:17:59	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-includes/css/dist/block-library/style.min9dff.css	(from )
18:18:00	119129/119129	---M-Z	200	added ('OK')	text/css	etag:%221d159-59db7e4e08635-gzip%22	http://localhost/wordpress/wp-content/themes/twentytwenty/style.css?ver=1.1	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/themes/twentytwenty/style4963.css	(from )
18:18:00	2574/2574	---M-Z	200	added ('OK')	text/css	etag:%22a0e-59db6d7d87b9c-gzip%22	http://localhost/wordpress/wp-content/themes/twentytwenty/print.css?ver=1.1	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/themes/twentytwenty/print4963.css	(from )
18:18:00	14983/14983	---M-Z	200	added ('OK')	text/css	etag:%223a87-59db880054d32-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mindeba.css	(from )
18:18:00	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-59db87ffcc342-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.8.5	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min42e1.css	(from )
18:18:01	104338/104338	---M-Z	200	added ('OK')	text/css	etag:%2219792-59db87fddefee-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.8.5	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min42e1.css	(from )
18:18:01	5530/5530	---M-Z	200	added ('OK')	text/css	etag:%22159a-59db894dab754-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/global.css?ver=1580790980	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/elementor/css/globala635.css	(from )
18:18:01	6369/6369	---M-Z	200	added ('OK')	text/css	etag:%2218e1-59dd1517bf983-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-7.css?ver=1580897224	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/elementor/css/post-7a2d7.css	(from )
18:18:01	25009/25009	---M-Z	200	added ('OK')	application/javascript	etag:%2261b1-5991b2cf56640-gzip%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/js/index.js?ver=1.1	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/themes/twentytwenty/assets/js/index4963.js	(from )
18:18:05	33312/33312	---M--	200	added ('OK')	image/png	etag:%228220-59db6a98495d5%22	http://localhost/wordpress/wp-content/uploads/2020/02/cropped-17904135_1651602374868008_1859703828592838142_n.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/cropped-17904135_1651602374868008_1859703828592838142_n.png	(from )
18:18:10	49309/49309	---M--	200	added ('OK')	image/jpeg	etag:%22c09d-59db718445022%22	http://localhost/wordpress/wp-content/uploads/2020/02/WP1-1200x600.jpg	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/WP1-1200x600.jpg	(from )
18:18:19	108243/108243	---M--	200	added ('OK')	image/png	etag:%221a6d3-59db77b8155f2%22	http://localhost/wordpress/wp-content/uploads/2020/02/1-1-300x204.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/1-1-300x204.png	(from )
18:18:20	108283/108283	---M--	200	added ('OK')	image/png	etag:%221a6fb-59db77f006146%22	http://localhost/wordpress/wp-content/uploads/2020/02/2-300x205.png	C:/My%20Web%20Sites/WORDPRESS%20WORKSHOP%20STATIC%20SITE/localhost/wordpress/wp-content/uploads/2020/02/2-300x205.png	(from )
