"RiderNo.,Rider Name"
"1,Francesco Bagnaia"
"1,Casey Stoner"
"1,Jorge Lorenzo"
"1,Nicky Hayden"
"1,Kenny Roberts Jr."
"1,Àlex Crivillé"
"1,Mick Doohan"
"1,Kevin Schwantz"
"1,Wayne Rainey"
"1,Eddie Lawson"
"2,Leon Camier"
"2,Franco Battaini"
"2,Dani Pedrosa"
"2,Kenny Roberts Jr."
"2,Max Biaggi"
"2,Tadayuki Okada"
"2,Àlex Crivillé"
"2,Daryl Beattie"
"2,Luca Cadalora"
"2,Mick Doohan"
"2,Wayne Rainey"
"3,Dani Pedrosa"
"3,Max Biaggi"
"3,Àlex Crivillé"
"3,Nobuatsu Aoki"
"3,Luca Cadalora"
"3,Daryl Beattie"
"3,John Kocinski"
"3,Mick Doohan"
"3,Christian Sarron"
"4,Andrea Dovizioso"
"4,Alex Barros"
"4,Max Biaggi"
"4,Carlos Checa"
"4,Àlex Crivillé"
"4,Daryl Beattie"
"4,Mick Doohan"
"4,John Kocinski"
"4,Niall Mackenzie"
"4,Kevin Magee"
"5,Johann Zarco"
"5,Colin Edwards"
"5,Garry McCoy"
"5,Sete Gibernau"
"5,Alex Barros"
"5,Norick Abe"
"5,Alberto Puig"
"5,Luca Cadalora"
"5,Doug Chandler"
"5,Wayne Gardner"
"5,Pierfrancesco Chili"
"6,Stefan Bradl"
"6,Damian Cudlin"
"6,Makoto Tamada"
"6,Norifumi Abe"
"6,Norick Abe"
"6,Max Biaggi"
"6,Daryl Beattie"
"6,Tadayuki Okada"
"6,Àlex Crivillé"
"6,Alex Barros"
"6,Shinichi Ito"
"6,Juan Garriga"
"6,Joan Garriga"
"6,Sito Pons"
"7,Mike Jones"
"7,Hiroshi Aoyama"
"7,Chris Vermeulen"
"7,Carlos Checa"
"7,Luca Cadalora"
"7,Doriano Romboni"
"7,Tadayuki Okada"
"7,Alex Barros"
"7,Shinichi Ito"
"7,Shinichi Itoh"
"7,Eddie Lawson"
"7,Niall Mackenzie"
"8,Héctor Barberá"
"8,Wataru Yoshikawa"
"8,Tadayuki Okada"
"8,Garry McCoy"
"8,Naoki Matsudo"
"8,Chris Walker"
"8,Carlos Checa"
"8,Juan Borja"
"8,Sean Emmett"
"8,Àlex Crivillé"
"8,Randy Mamola"
"8,Jean-Philippe Ruggia"
"8,Ron Haslam"
"9,Danilo Petrucci"
"9,Nobuatsu Aoki"
"9,Leon Haslam"
"9,Alex Barros"
"9,Alberto Puig"
"9,Norick Abe"
"9,Kevin Magee"
"9,Mick Doohan"
"10,Luca Marini"
"10,Xavier Siméon"
"10,Kenny Roberts Jr."
"10,José Luis Cardoso"
"10,Alex Barros"
"10,Jeremy McWilliams"
"10,Doug Chandler"
"10,Sito Pons"
"10,Wayne Gardner"
"11,Ben Spies"
"11,Fonsi Nieto"
"11,Rubén Xaus"
"11,Tohru Ukawa"
"11,José David de Gea"
"11,Simon Crafar"
"11,Troy Corser"
"11,Scott Russell"
"11,Bernard Garcia"
"11,John Kocinski"
"11,Niall Mackenzie"
"11,Eddie Laycock"
"11,Marco Papa"
"11,Joan Garriga"
"12,Maverick Viñales"
"12,Thomas Lüthi"
"12,Takuya Tsuda"
"12,Javier Forés"
"12,Jamie Hacking"
"12,Troy Bayliss"
"12,Haruchika Aoki"
"12,Shane Norval"
"12,Jean-Michel Bayle"
"12,Carlos Checa"
"12,Juan López Mella"
"12,Mat Mladin"
"12,Alex Barros"
"13,Anthony West"
"13,Bernard Garcia"
"13,Jeremy McWilliams"
"13,Loris Reggiani"
"13,Toshiyuki Arakaki"
"13,Niggi Schmassman"
"14,Randy de Puniet"
"14,Marcus Payten"
"14,Anthony West"
"14,Juan Borja"
"14,Adrian Bosshard"
"14,Jeremy McWilliams"
"14,Marco Papa"
"14,Dominique Sarron"
"14,Jean-Philippe Ruggia"
"15,Alex de Angelis"
"15,Steve Rapp"
"15,Sete Gibernau"
"15,Yoshiteru Konishi"
"15,Frédéric Protat"
"15,Doriano Romboni"
"15,John Reynolds"
"15,Tsutomu Udagawa"
"15,Cees Doorakkers"
"15,Ron Haslam"
"15,Norihiko Fujiwara"
"16,Jurgen van den Goorbergh"
"16,Johan Stigefelt"
"16,Yukio Kagayama"
"16,Jean-Philippe Ruggia"
"16,Jürgen Fuchs"
"16,Laurent Naveau"
"16,Michael Rudroff"
"16,Marco Papa"
"16,Cees Doorakkers"
"17,Karel Abraham"
"17,Miguel Duhamel"
"17,Randy de Puniet"
"17,Chris Vermeulen"
"17,Norifumi Abe"
"17,Jurgen van den Goorbergh"
"17,Lucio Pedercini"
"17,Alberto Puig"
"17,Eddie Laycock"
"17,Peter Lindén"
"18,Jean-Michel Bayle"
"18,Brendan Clarke"
"18,Sebastien Le Grelle"
"18,Markus Ober"
"18,Garry McCoy"
"18,Nobuatsu Aoki"
"18,James Haydon"
"18,Laurent Naveau"
"18,Bernard Garcia"
"18,Michael Rudroff"
"18,Marco Papa"
"18,Randy Mamola"
"19,Álvaro Bautista"
"19,Olivier Jacque"
"19,Akira Ryō"
"19,John Kocinski"
"19,Doriano Romboni"
"19,Sean Emmett"
"19,Juan Borja"
"19,Freddie Spencer"
"19,Niall Mackenzie"
"19,Hansjörg Butz"
"20,Fabio Quartararo"
"20,Aaron Yates"
"20,Pere Riba"
"20,Phil Giles"
"20,Mike Hale"
"20,Luca Cadalora"
"20,Sete Gibernau"
"20,Toshiyuki Arakaki"
"20,Cristiano Migliorati"
"20,Kevin Mitchell"
"20,Jeremy McWilliams"
"20,Adrien Morillas"
"20,Michael Rudroff"
"21,Franco Morbidelli"
"21,Katsuyuki Nakasuga"
"21,John Hopkins"
"21,Barry Veneman"
"21,Ron Haslam"
"21,Michael Rutter"
"21,Kyoji Nanba"
"21,Jurgen van den Goorbergh"
"21,Katsuaki Fujiwara"
"21,Bernard Hänggeli"
"21,Cees Doorakkers"
"21,Laurent Naveau"
"21,Peter Goddard"
"21,Doug Chandler"
"21,Tadahiko Taira"
"22,Sam Lowes"
"22,Alex Lowes"
"22,Iván Silva"
"22,Sébastien Gimbert"
"22,Kirk McCarthy"
"22,Lucio Pedercini"
"22,Kevin Mitchell"
"22,Simon Buckmaster"
"23,Enea Bastianini"
"23,Christophe Ponsson"
"23,Broc Parkes"
"23,Luca Scassa"
"23,Ben Bostrom"
"23,Shinichi Ito"
"23,Ryuichi Kiyonari"
"23,Callum Ramsay"
"23,Matt Wait"
"23,Anthony Gobert"
"23,Eugene McManus"
"23,Lucio Pedercini"
"23,Serge David"
"23,Niggi Schmassmann"
"23,Andy Leuthe"
"23,Esko Kuparinen"
"24,Toni Elías"
"24,Garry McCoy"
"24,Jason Vincent"
"24,Takuma Aoki"
"24,Carlos Checa"
"24,Scott Gray"
"24,Cristiano Migliorati"
"24,Cees Doorakkers"
"24,Lucio Pedercini"
"24,Helmut Schütz"
"24,Eddie Laycock"
"25,Raúl Fernández"
"25,Maverick Viñales"
"25,Tamaki Serizawa"
"25,Shaun Geronimi"
"25,José Luis Cardoso"
"25,Yukio Kagayama"
"25,Laurent Naveau"
"25,Jean-Marc Deletang"
"25,Neil Hodgson"
"25,Marco Papa"
"25,Thierry Criné"
"25,Josef Doppler"
"25,Tatsuro Arata"
"25,Andy Leuthe"
"26,Dani Pedrosa"
"26,Vladimír Častka"
"26,John McGuinness"
"26,Haruchika Aoki"
"26,Bernard Garcia"
"26,Yukio Kagayama"
"26,Terry Rymer"
"26,Jim Filice"
"26,Kevin Mitchell"
"26,Niggi Schmassman"
"27,Iker Lecuona"
"27,Casey Stoner"
"27,Franco Battaini"
"27,Sébastien Gimbert"
"27,Luca Cadalora"
"27,Bernard Garcia"
"27,Katsuaki Fujiwara"
"27,Peter Goddard"
"27,Frédéric Protat"
"27,Andrew Stroud"
"27,Bernard Haenggeli"
"27,Renzo Colleoni"
"27,Serge David"
"27,Didier de Radiguès"
"28,Àlex Crivillé"
"28,Ralf Waldmann"
"28,William Costes"
"28,Bruno Bonhuil"
"28,Julián Miralles"
"28,John Reynolds"
"28,Shinichi Ito"
"28,Alex Barros"
"29,Andrea Iannone"
"29,David García"
"29,Keiichi Kitagawa"
"29,Marcellino Lucchi"
"29,Andreas Leuthe"
"29,Sean Emmett"
"29,Larry Moreno Vacondio"
"30,Takaaki Nakagami"
"30,José Luis Cardoso"
"30,Anthony Gobert"
"30,Andrew Stroud"
"30,Vittorio Scatola"
"30,Juan López Mella"
"30,Peter Graves"
"30,Martin Trösch"
"30,Michele Valdo"
"31,Garrett Gerloff"
"31,Kohta Nozane"
"31,Tetsuya Harada"
"31,Lothar Neukirchner"
"31,Bruno Bonhuil"
"31,Thierry Criné"
"31,Steve Spray"
"31,Romolo Balbi"
"31,Marco Papa"
"32,Lorenzo Savadori"
"32,Gregorio Lavilla"
"32,Jarno Janssen"
"32,Marc Garcia"
"32,Stéphane Mertens"
"32,Toshiyuki Arakaki"
"32,Evren Bischoff"
"32,José Kuhn"
"32,Michael Rudroff"
"32,Alois Meyer"
"33,Brad Binder"
"33,Marco Melandri"
"33,Akira Ryō"
"33,David Tomas"
"33,David Tomás"
"33,Mark Willis"
"33,Chris Taylor"
"33,Andreas Meklau"
"33,Corrado Catalano"
"33,Raymond Roche"
"33,Josef Doppler"
"33,Karl Truchsess"
"34,Kevin Schwantz"
"34,Bruno Bonhuil"
"35,Cal Crutchlow"
"35,Chris Burns"
"35,Anthony Gobert"
"35,Brian Morrison"
"35,Jean-Luc Romanens"
"35,Larry Moreno Vacondio"
"35,Michael Rudroff"
"35,Josef Doppler"
"35,Norihiko Fujiwara"
"35,Vittorio Scatola"
"35,Hans Becker"
"35,Karl Truchsess"
"35,Shunji Yatsushiro"
"36,Joan Mir"
"36,Mika Kallio"
"36,James Haydon"
"36,Stephen Briggs"
"36,Shinichi Ito"
"36,Jamie Robinson"
"36,Jean Foray"
"36,Lucio Pedercini"
"36,Claude Arciero"
"36,Romolo Balbi"
"36,Josef Doppler"
"36,Hans Becker"
"36,Hikaru Miyagi"
"36,Simon Buckmaster"
"36,Karl Truchsess"
"36,Kunio Machii"
"36,Cees Doorakkers"
"37,Augusto Fernández"
"37,Miguel Tey"
"37,Steve Martin"
"37,Frédéric Protat"
"37,Hervé Moineau"
"37,Simon Crafar"
"37,Juan López Mella"
"37,Michele Valdo"
"37,Josef Doppler"
"37,Vittorio Scatola"
"37,Simon Buckmaster"
"37,Kunio Machii"
"37,Marco Papa"
"37,Hikaru Miyagi"
"38,Bradley Smith"
"38,Antonio Irizar"
"38,Ermanno Bastianini"
"38,Corrado Catalano"
"38,Michele Valdo"
"38,Josef Doppler"
"38,Hans Becker"
"38,Osamu Hiwatashi"
"38,Marco Papa"
"39,Gregorio Lavilla"
"39,Alessandro Gramigni"
"39,Lee Pullan"
"39,James Haydon"
"39,Toshihiko Honma"
"39,Michael Rudroff"
"39,Michele Valdo"
"39,Simon Buckmaster"
"39,Keiji Ohishi"
"39,Shinichi Ito"
"40,Darryn Binder"
"40,Héctor Barberá"
"40,José Kuhn"
"40,Neil Hodgson"
"40,Jehan d’Orgeix"
"40,Andrew Stroud"
"40,Hans Becker"
"40,Satoshi Tsujimoto"
"40,Michele Valdo"
"41,Aleix Espargaró"
"41,Josh Hayes"
"41,Gábor Talmácsi"
"41,Youichi Ui"
"41,Noriyuki Haga"
"41,Shinichi Itoh"
"41,Enrique de Juan"
"41,Andrew Stroud"
"41,Darren Dixon"
"41,Keiichiro Iwahashi"
"41,Shinji Katayama"
"41,Cees Doorakkers"
"42,Álex Rins"
"42,Craig Connell"
"42,Peter Goddard"
"42,Paul Pellissier"
"42,Andrew Stroud"
"42,Alois Meyer"
"42,Vittorio Scatola"
"43,Jack Miller"
"43,Kris McLaren"
"43,Akira Ryō"
"43,Paolo Tessari"
"43,David Jefferies"
"43,Karl Truchsess"
"43,Keiji Ohishi"
"43,Rachel Nicotte"
